aircon_hrs_month,household_members,appliance_consumption_kwh,electricity_bill_php
62,3,140,2336
81,7,245,3703
71,7,226,3490
110,4,229,3463
62,5,173,2807
61,6,121,2555
91,3,155,2673
86,6,149,2951
92,5,137,2795
105,5,167,3109
78,6,243,3545
100,3,244,3368
64,3,256,3164
51,6,159,2741
92,2,230,3086
60,5,213,3071
62,3,156,2448
67,4,123,2377
104,5,180,3192
108,5,146,2986
50,4,204,2808
70,5,143,2661
104,2,231,3189
96,6,232,3612
105,6,233,3691
68,2,257,3083
97,2,223,3077
65,2,159,2373
44,3,241,2899
52,6,233,3267
71,4,179,2801
56,5,170,2738
58,3,243,3025
55,7,204,3208
73,3,195,2809
93,4,194,3082
110,2,133,2551
70,7,164,3048
117,3,137,2755
111,4,195,3233
64,6,174,2950
42,3,126,2078
75,7,234,3578
45,5,160,2580
48,4,171,2561
117,3,202,3210
89,2,205,2887
71,2,181,2575
77,2,132,2280
110,6,144,3108
