transaction_id,product_category,product_name,brand,payment_method,customer_type,store_location,quantity,unit_price,total_sales,purchase_date,restock_date
1,beauty products,TechBlaster 1000,Thunderbolt,credit card,basic,456 Elm Avenue,50,292,14600,2/4/2026,9/1/2025
2,home decor,HyperDrive 500,Thunderbolt,credit card,premium,123 Main Street,71,457,32447,4/6/2026,6/15/2025
3,office supplies,TechMaster 3000,Acme,credit card,basic,789 Oak Lane,31,76,2356,4/12/2026,12/22/2025
4,pet supplies,SuperTech Pro 2000,Starlight,Venmo,basic,789 Oak Lane,7,324,2268,1/3/2026,6/20/2025
5,toys,GigaMaster 100,Thunderbolt,PayPal,VIP,456 Elm Avenue,31,330,10230,10/24/2025,9/19/2025
6,office supplies,HyperDrive 500,Acme,PayPal,premium,789 Oak Lane,4,333,1332,6/15/2025,4/29/2026
7,pet supplies,MegaTech Pro,Evergreen,PayPal,premium,456 Elm Avenue,80,479,38320,9/4/2025,2/22/2026
8,outdoor gear,TechBlaster 1000,Evergreen,Venmo,premium,456 Elm Avenue,96,431,41376,2/17/2026,10/19/2025
9,toys,TechMaster 3000,Silverstone,credit card,premium,789 Oak Lane,75,401,30075,12/12/2025,11/1/2025
10,clothing,UltimaTech 5000,Silverstone,credit card,premium,123 Main Street,25,55,1375,5/17/2025,10/28/2025
11,home decor,MegaDrive X10,Acme,credit card,VIP,456 Elm Avenue,82,410,33620,7/4/2025,5/2/2026
12,kitchen appliances,TechMaster 3000,Thunderbolt,PayPal,VIP,456 Elm Avenue,77,246,18942,9/18/2025,5/25/2025
13,office supplies,PowerGadget 500,Starlight,PayPal,VIP,789 Oak Lane,83,82,6806,4/7/2026,12/16/2025
14,home decor,SuperTech Pro 2000,Starlight,PayPal,premium,789 Oak Lane,12,209,2508,9/11/2025,3/16/2026
15,office supplies,MegaDrive X10,Evergreen,credit card,premium,789 Oak Lane,83,483,40089,3/17/2026,7/30/2025
16,beauty products,HyperDrive 500,Thunderbolt,PayPal,premium,456 Elm Avenue,78,6,468,10/8/2025,10/3/2025
17,beauty products,UltraGadget X,Thunderbolt,credit card,premium,456 Elm Avenue,14,252,3528,11/4/2025,3/26/2026
18,beauty products,SuperNova X,Evergreen,credit card,VIP,123 Main Street,89,338,30082,1/13/2026,8/27/2025
19,beauty products,SuperNova X,Starlight,Venmo,premium,123 Main Street,13,261,3393,12/24/2025,6/10/2025
20,outdoor gear,MegaDrive X10,Starlight,credit card,basic,789 Oak Lane,68,11,748,11/19/2025,6/4/2025
21,home decor,PowerMax Pro,Thunderbolt,credit card,premium,123 Main Street,70,354,24780,12/27/2025,7/12/2025
22,kitchen appliances,SuperTech Pro 2000,Silverstone,Venmo,premium,123 Main Street,87,22,1914,7/15/2025,12/25/2025
23,toys,MegaDrive X10,Starlight,Venmo,premium,456 Elm Avenue,69,14,966,8/20/2025,8/15/2025
24,sports equipment,MegaTech Pro,Starlight,Venmo,basic,456 Elm Avenue,76,418,31768,6/14/2025,8/14/2025
25,sports equipment,PowerTech 200,Starlight,Venmo,VIP,789 Oak Lane,71,104,7384,12/28/2025,11/17/2025
26,beauty products,SuperTech Pro 2000,Acme,Venmo,VIP,789 Oak Lane,22,53,1166,11/2/2025,11/5/2025
27,kitchen appliances,PowerMax Pro,Acme,PayPal,basic,123 Main Street,23,426,9798,11/13/2025,4/14/2026
28,toys,PowerMax Pro,Acme,PayPal,VIP,456 Elm Avenue,40,200,8000,8/12/2025,3/18/2026
29,toys,TechMaster 3000,Thunderbolt,credit card,basic,789 Oak Lane,10,425,4250,10/31/2025,10/12/2025
30,clothing,SuperTech Pro 2000,Evergreen,PayPal,premium,456 Elm Avenue,57,64,3648,1/26/2026,12/16/2025
31,electronics,PowerMax Pro,Evergreen,Venmo,VIP,789 Oak Lane,63,213,13419,12/9/2025,12/16/2025
32,toys,PowerTech 200,Acme,credit card,premium,123 Main Street,18,489,8802,7/28/2025,2/14/2026
33,home decor,SuperNova X,Silverstone,PayPal,basic,456 Elm Avenue,73,118,8614,6/25/2025,7/3/2025
34,toys,SuperTech Pro 2000,Acme,credit card,VIP,456 Elm Avenue,69,456,31464,6/29/2025,4/18/2026
35,electronics,GigaMax Pro,Evergreen,credit card,basic,456 Elm Avenue,82,417,34194,7/2/2025,2/20/2026
36,sports equipment,UltimateGizmo 3000,Thunderbolt,PayPal,basic,456 Elm Avenue,44,450,19800,9/4/2025,8/8/2025
37,clothing,UltraGadget X,Starlight,Venmo,VIP,456 Elm Avenue,32,333,10656,1/13/2026,9/2/2025
38,sports equipment,SuperTech Pro 2000,Evergreen,PayPal,VIP,123 Main Street,92,291,26772,3/11/2026,5/28/2025
39,clothing,SuperNova X,Acme,credit card,basic,456 Elm Avenue,63,44,2772,11/10/2025,2/12/2026
40,office supplies,HyperDrive 500,Acme,PayPal,basic,789 Oak Lane,49,28,1372,4/18/2026,12/5/2025
41,electronics,GigaMax Pro,Evergreen,Venmo,VIP,789 Oak Lane,12,377,4524,8/16/2025,12/30/2025
42,pet supplies,MegaDrive X10,Starlight,PayPal,VIP,456 Elm Avenue,72,6,432,10/13/2025,2/26/2026
43,electronics,TechNova Pro,Acme,credit card,VIP,456 Elm Avenue,59,223,13157,5/18/2025,5/26/2025
44,electronics,UltraGadget X,Acme,PayPal,premium,456 Elm Avenue,13,309,4017,3/9/2026,1/24/2026
45,beauty products,SuperTech Pro 2000,Silverstone,Venmo,VIP,123 Main Street,3,448,1344,10/30/2025,3/31/2026
46,outdoor gear,TechMaster 3000,Thunderbolt,credit card,VIP,456 Elm Avenue,66,197,13002,6/19/2025,3/12/2026
47,pet supplies,SuperSpeed X,Thunderbolt,Venmo,basic,789 Oak Lane,24,68,1632,1/24/2026,6/6/2025
48,sports equipment,PowerMax Pro,Starlight,Venmo,premium,456 Elm Avenue,40,296,11840,3/15/2026,9/3/2025
49,electronics,HyperDrive 500,Starlight,credit card,VIP,123 Main Street,35,371,12985,5/29/2025,8/28/2025
50,toys,PowerMax Pro,Silverstone,PayPal,VIP,789 Oak Lane,17,479,8143,9/23/2025,11/27/2025
51,toys,GigaForce 9000,Evergreen,Venmo,premium,789 Oak Lane,22,423,9306,3/30/2026,10/9/2025
52,toys,UltraForce 2000,Starlight,credit card,basic,456 Elm Avenue,57,422,24054,4/16/2026,5/13/2026
53,electronics,HyperDrive 500,Thunderbolt,PayPal,basic,123 Main Street,92,191,17572,6/14/2025,3/16/2026
54,toys,UltimateGizmo 3000,Acme,Venmo,premium,789 Oak Lane,65,92,5980,3/8/2026,7/16/2025
55,electronics,UltraForce 2000,Thunderbolt,PayPal,VIP,456 Elm Avenue,45,358,16110,1/17/2026,12/9/2025
56,home decor,TechNova Pro,Starlight,credit card,basic,123 Main Street,11,428,4708,12/9/2025,12/27/2025
57,clothing,UltraGadget X,Silverstone,Venmo,basic,456 Elm Avenue,11,330,3630,3/11/2026,8/9/2025
58,outdoor gear,UltimateGizmo 3000,Starlight,PayPal,VIP,123 Main Street,53,113,5989,4/15/2026,2/7/2026
59,clothing,SuperSpeed X,Acme,Venmo,premium,456 Elm Avenue,54,293,15822,3/15/2026,4/11/2026
60,kitchen appliances,UltimaTech 5000,Acme,PayPal,basic,789 Oak Lane,45,264,11880,12/24/2025,9/11/2025
61,pet supplies,UltraGadget X,Acme,Venmo,premium,123 Main Street,100,376,37600,8/17/2025,9/5/2025
62,kitchen appliances,MegaGizmo X10,Silverstone,credit card,basic,789 Oak Lane,81,144,11664,8/3/2025,8/12/2025
63,electronics,SuperNova X,Silverstone,credit card,basic,123 Main Street,74,212,15688,5/22/2025,8/30/2025
64,office supplies,MegaDrive X10,Starlight,PayPal,basic,456 Elm Avenue,57,178,10146,9/30/2025,1/8/2026
65,toys,TechBlaster 1000,Silverstone,Venmo,VIP,789 Oak Lane,64,237,15168,2/25/2026,11/5/2025
66,clothing,PowerMax Pro,Starlight,Venmo,premium,789 Oak Lane,1,479,479,7/10/2025,3/31/2026
67,beauty products,MegaGizmo X10,Silverstone,PayPal,VIP,789 Oak Lane,26,172,4472,5/13/2026,3/2/2026
68,kitchen appliances,PowerMax Pro,Thunderbolt,credit card,premium,456 Elm Avenue,86,498,42828,1/26/2026,3/9/2026
69,home decor,SuperSpeed X,Acme,Venmo,basic,456 Elm Avenue,62,5,310,12/29/2025,2/4/2026
70,clothing,HyperDrive 500,Starlight,credit card,premium,789 Oak Lane,57,327,18639,10/30/2025,12/7/2025
71,kitchen appliances,TechNova Pro,Acme,Venmo,premium,789 Oak Lane,25,498,12450,11/8/2025,12/6/2025
72,kitchen appliances,MegaGizmo X10,Evergreen,PayPal,basic,789 Oak Lane,9,439,3951,11/29/2025,8/25/2025
73,outdoor gear,UltraGadget X,Evergreen,PayPal,VIP,789 Oak Lane,11,203,2233,10/12/2025,12/13/2025
74,toys,SuperTech Pro 2000,Starlight,Venmo,premium,789 Oak Lane,29,278,8062,7/24/2025,10/8/2025
75,clothing,HyperDrive 500,Thunderbolt,Venmo,basic,123 Main Street,36,56,2016,6/29/2025,4/20/2026
76,beauty products,UltimateGizmo 3000,Thunderbolt,Venmo,basic,123 Main Street,38,348,13224,6/24/2025,2/13/2026
77,outdoor gear,PowerMax Pro,Acme,credit card,VIP,123 Main Street,21,358,7518,5/27/2025,9/9/2025
78,pet supplies,UltimaTech 5000,Starlight,credit card,basic,456 Elm Avenue,11,26,286,5/13/2026,2/24/2026
79,sports equipment,SuperTech Pro 2000,Silverstone,credit card,basic,456 Elm Avenue,1,405,405,12/16/2025,2/19/2026
80,beauty products,MegaGizmo X10,Silverstone,credit card,basic,789 Oak Lane,34,76,2584,12/4/2025,2/23/2026
81,toys,SuperTech Pro 2000,Silverstone,Venmo,premium,123 Main Street,15,45,675,7/14/2025,7/2/2025
82,electronics,PowerGadget 500,Evergreen,PayPal,VIP,456 Elm Avenue,95,142,13490,8/4/2025,10/10/2025
83,office supplies,TechNova Pro,Starlight,credit card,basic,456 Elm Avenue,16,104,1664,12/26/2025,5/5/2026
84,kitchen appliances,MegaGizmo X10,Thunderbolt,PayPal,VIP,789 Oak Lane,27,284,7668,7/23/2025,11/22/2025
85,sports equipment,UltimateGizmo 3000,Thunderbolt,Venmo,premium,456 Elm Avenue,80,37,2960,3/13/2026,3/31/2026
86,sports equipment,GigaMax Pro,Starlight,PayPal,VIP,456 Elm Avenue,89,185,16465,11/23/2025,3/29/2026
87,home decor,MegaGizmo X10,Thunderbolt,PayPal,premium,789 Oak Lane,41,15,615,11/14/2025,1/13/2026
88,sports equipment,UltraGadget X,Thunderbolt,PayPal,basic,456 Elm Avenue,69,135,9315,8/27/2025,7/9/2025
89,beauty products,TechBlaster 1000,Starlight,PayPal,premium,456 Elm Avenue,86,80,6880,2/23/2026,10/23/2025
90,pet supplies,TechMaster 3000,Silverstone,Venmo,basic,456 Elm Avenue,97,89,8633,11/30/2025,7/6/2025
91,toys,UltraForce 2000,Thunderbolt,PayPal,basic,123 Main Street,57,17,969,8/29/2025,8/25/2025
92,office supplies,SuperSpeed X,Thunderbolt,PayPal,VIP,456 Elm Avenue,41,338,13858,6/29/2025,5/13/2026
93,beauty products,MegaDrive X10,Silverstone,credit card,VIP,123 Main Street,1,126,126,12/18/2025,1/18/2026
94,office supplies,GigaMax Pro,Acme,Venmo,VIP,789 Oak Lane,65,288,18720,8/24/2025,8/26/2025
95,beauty products,HyperDrive 500,Evergreen,Venmo,basic,123 Main Street,7,281,1967,4/17/2026,6/9/2025
96,home decor,TechNova Pro,Silverstone,Venmo,premium,789 Oak Lane,83,84,6972,5/9/2026,8/27/2025
97,office supplies,MegaTech Pro,Thunderbolt,Venmo,premium,789 Oak Lane,69,265,18285,10/27/2025,6/22/2025
98,kitchen appliances,SuperNova X,Acme,credit card,VIP,456 Elm Avenue,15,431,6465,9/29/2025,1/12/2026
99,kitchen appliances,GigaMaster 100,Starlight,Venmo,basic,456 Elm Avenue,15,314,4710,12/14/2025,6/13/2025
100,electronics,UltimaTech 5000,Thunderbolt,Venmo,premium,789 Oak Lane,28,431,12068,2/2/2026,5/19/2025
101,toys,GigaForce 9000,Evergreen,Venmo,basic,789 Oak Lane,99,291,28809,2/19/2026,7/10/2025
102,electronics,UltimateGizmo 3000,Silverstone,credit card,VIP,123 Main Street,47,20,940,2/26/2026,2/17/2026
103,pet supplies,SuperTech Pro 2000,Evergreen,PayPal,basic,123 Main Street,63,427,26901,2/3/2026,8/31/2025
104,kitchen appliances,PowerMax Pro,Thunderbolt,Venmo,basic,456 Elm Avenue,27,135,3645,9/20/2025,8/29/2025
105,toys,SuperSpeed X,Starlight,credit card,VIP,789 Oak Lane,75,298,22350,12/23/2025,3/7/2026
106,beauty products,MegaDrive X10,Starlight,Venmo,premium,456 Elm Avenue,77,434,33418,7/10/2025,5/30/2025
107,home decor,UltimateGizmo 3000,Silverstone,Venmo,premium,123 Main Street,55,246,13530,11/20/2025,5/7/2026
108,home decor,PowerTech 200,Silverstone,Venmo,premium,456 Elm Avenue,63,107,6741,2/20/2026,12/14/2025
109,home decor,UltraForce 2000,Evergreen,credit card,VIP,789 Oak Lane,33,438,14454,2/22/2026,11/23/2025
110,beauty products,PowerMax Pro,Evergreen,PayPal,premium,456 Elm Avenue,52,168,8736,11/28/2025,7/18/2025
111,toys,HyperDrive 500,Evergreen,PayPal,premium,123 Main Street,37,29,1073,6/2/2025,5/15/2025
112,pet supplies,TechMaster 3000,Starlight,credit card,premium,123 Main Street,32,81,2592,8/12/2025,8/24/2025
113,toys,PowerMax Pro,Evergreen,Venmo,VIP,789 Oak Lane,45,139,6255,7/27/2025,12/19/2025
114,pet supplies,PowerTech 200,Thunderbolt,credit card,premium,123 Main Street,91,241,21931,12/4/2025,11/12/2025
115,beauty products,UltraGadget X,Silverstone,credit card,premium,123 Main Street,92,321,29532,8/2/2025,4/30/2026
116,home decor,UltraGadget X,Silverstone,PayPal,VIP,789 Oak Lane,73,398,29054,5/22/2025,5/13/2026
117,kitchen appliances,UltimateGizmo 3000,Acme,credit card,premium,123 Main Street,29,292,8468,1/7/2026,12/13/2025
118,electronics,SuperNova X,Silverstone,PayPal,VIP,123 Main Street,51,100,5100,8/28/2025,7/3/2025
119,home decor,UltimateGizmo 3000,Thunderbolt,PayPal,premium,123 Main Street,30,113,3390,7/15/2025,9/12/2025
120,beauty products,UltraGadget X,Silverstone,Venmo,VIP,123 Main Street,30,414,12420,5/26/2025,5/11/2026
121,electronics,TechBlaster 1000,Silverstone,PayPal,premium,456 Elm Avenue,30,393,11790,11/9/2025,6/19/2025
122,toys,TechNova Pro,Silverstone,credit card,VIP,789 Oak Lane,93,157,14601,11/3/2025,7/23/2025
123,kitchen appliances,UltraForce 2000,Evergreen,Venmo,VIP,789 Oak Lane,89,321,28569,2/12/2026,6/29/2025
124,toys,PowerTech 200,Evergreen,Venmo,basic,789 Oak Lane,69,158,10902,10/23/2025,12/22/2025
125,clothing,SuperSpeed X,Acme,credit card,basic,789 Oak Lane,6,273,1638,11/27/2025,12/18/2025
126,toys,UltimateGizmo 3000,Thunderbolt,credit card,basic,123 Main Street,92,464,42688,5/28/2025,3/22/2026
127,home decor,GigaForce 9000,Silverstone,PayPal,VIP,456 Elm Avenue,4,210,840,1/12/2026,1/2/2026
128,toys,MegaTech Pro,Starlight,PayPal,premium,456 Elm Avenue,8,496,3968,1/10/2026,11/20/2025
129,office supplies,UltraForce 2000,Evergreen,PayPal,basic,789 Oak Lane,73,108,7884,1/30/2026,6/28/2025
130,outdoor gear,UltimaTech 5000,Thunderbolt,PayPal,premium,456 Elm Avenue,15,77,1155,1/17/2026,11/7/2025
