order_id,customer_id,customer_age,city,subscription_type,meal_type,num_of_meals,delivery_date,delivery_time,order_amount,delivery_status,payment_method,prep_time_minutes,customer_rating
1,5546,40,Pagangan,basic,breakfast,1,10/28/2025,10:16 PM,431,in transit,credit card,38,3
2,9055,55,Pran Buri,gold,snack,8,3/15/2026,8:23 AM,2872,delivered,credit card,42,5
3,5307,49,Stetseva,gold,dinner,3,5/11/2025,5:59 AM,870,delivered,credit card,49,3
4,1304,62,La Reforma,gold,dinner,3,1/10/2026,7:43 PM,1359,out for delivery,credit card,54,5
5,8925,52,Zastron,basic,snack,2,12/26/2025,12:56 AM,742,out for delivery,Venmo,59,3
6,1438,30,Qijiang,premium,dinner,10,5/21/2025,10:53 AM,3180,out for delivery,PayPal,20,1
7,9721,26,Litibakul,premium,breakfast,6,11/25/2025,3:37 PM,2226,out for delivery,credit card,11,3
8,6667,61,Rusip,basic,snack,10,1/13/2026,11:53 PM,3970,delivered,PayPal,26,4
9,1016,76,Hikkaduwa,gold,breakfast,5,6/8/2025,5:50 AM,1265,delivered,credit card,44,3
10,2092,45,Muramatsu,basic,lunch,10,6/17/2025,11:50 PM,2470,delivered,PayPal,52,1
11,4388,19,Beibei,basic,breakfast,3,7/7/2025,8:26 PM,786,delivered,credit card,13,2
12,7132,52,Garunggang,basic,breakfast,6,11/4/2025,6:39 AM,1386,in transit,PayPal,39,4
13,8732,46,HanHuang,gold,breakfast,7,3/29/2026,8:28 PM,3458,delivered,PayPal,60,4
14,4759,31,Goragorskiy,gold,breakfast,10,9/19/2025,7:41 PM,3180,delivered,credit card,38,2
15,8060,25,Nikel’,basic,lunch,4,4/10/2026,7:32 AM,880,out for delivery,PayPal,53,2
16,7781,34,Phu Phiang,basic,snack,4,4/20/2026,6:43 AM,1116,delivered,credit card,26,4
17,6843,20,La Esmeralda,premium,lunch,10,6/22/2025,10:13 AM,2470,in transit,PayPal,36,3
18,1733,72,Batanamang,basic,lunch,10,3/17/2026,10:10 PM,4970,out for delivery,credit card,34,3
19,3523,40,Jiatou,gold,breakfast,9,1/26/2026,4:49 AM,2808,in transit,PayPal,28,4
20,4974,66,Edsbyn,basic,breakfast,4,2/9/2026,2:19 PM,864,out for delivery,PayPal,43,1
21,4172,75,Kesambilerenkrajan,gold,dinner,3,3/12/2026,6:24 AM,777,delivered,credit card,40,2
22,5290,58,Klang,premium,snack,1,7/24/2025,5:55 AM,212,in transit,PayPal,10,3
23,9163,32,Ouranoupolis,premium,dinner,5,7/10/2025,2:56 PM,2495,out for delivery,PayPal,15,4
24,6533,72,Al Ḩazm,premium,lunch,2,7/12/2025,8:28 PM,444,in transit,PayPal,47,1
25,7417,69,Kefar Yona,premium,dinner,2,12/17/2025,4:50 PM,406,delivered,PayPal,58,1
26,9071,37,Kuantan,gold,lunch,7,9/10/2025,1:03 AM,2394,in transit,Venmo,15,5
27,5799,48,Calanogas,gold,lunch,2,1/20/2026,11:09 PM,804,in transit,Venmo,17,1
28,9857,21,Madolenihm Municipality Government,basic,lunch,6,1/24/2026,2:33 PM,2838,delivered,PayPal,51,1
29,9560,53,Liski,premium,lunch,5,2/12/2026,1:17 PM,1300,out for delivery,PayPal,11,1
30,1659,72,Mikulintsy,premium,breakfast,5,9/1/2025,8:12 AM,1440,in transit,credit card,28,2
31,9930,39,Kasempa,basic,lunch,6,5/8/2025,3:30 AM,1332,out for delivery,PayPal,11,1
32,8686,27,Kochetok,gold,breakfast,5,5/6/2025,8:01 PM,2420,delivered,PayPal,15,1
33,9653,68,Salamanca,basic,breakfast,7,11/10/2025,8:29 AM,3248,delivered,PayPal,16,1
34,6922,55,Dawu,gold,dinner,7,2/6/2026,12:11 PM,2772,in transit,credit card,23,3
35,2085,67,Al Ḩawātah,basic,breakfast,6,10/8/2025,12:15 AM,2418,out for delivery,credit card,45,2
36,3918,52,Yangmiao,premium,dinner,4,8/1/2025,8:46 PM,1360,out for delivery,credit card,15,2
37,3554,41,Ushibuka,premium,lunch,3,9/14/2025,6:46 AM,1179,out for delivery,Venmo,31,2
38,4273,65,Dambarta,basic,dinner,6,10/4/2025,2:12 AM,1578,delivered,credit card,44,4
